X,Y
5.0,9.691558441558442
5.0,9.312770562770563
4.858870967741936,8.582251082251084
4.838709677419354,7.662337662337663
4.67741935483871,6.390692640692642
4.67741935483871,5.146103896103897
4.556451612903226,3.495670995670996
4.375,1.628787878787879
4.213709677419354,0.8170995670995671
4.213709677419354,0.8712121212121211
4.516129032258064,2.3322510822510822
4.516129032258064,3.0898268398268405
4.536290322580646,3.7932900432900434
4.71774193548387,4.686147186147187
4.858870967741936,5.714285714285715
5.141129032258064,7.256493506493507
5.30241935483871,8.60930735930736
5.383064516129032,9.52922077922078
5.282258064516128,9.637445887445889
5.080645161290322,8.690476190476192
5.0,7.6893939393939394
4.798387096774194,5.876623376623377
4.637096774193548,4.46969696969697
4.455645161290322,3.0357142857142856
4.112903225806452,1.4123376623376624
4.012096774193548,0.8441558441558441
3.9112903225806455,0.5194805194805194
4.173387096774194,1.4123376623376624
4.314516129032258,2.792207792207792
4.435483870967742,3.387445887445888
4.616935483870968,4.496753246753247
5.0,6.336580086580088
5.181451612903226,8.041125541125542
5.181451612903226,9.177489177489178
5.201612903225806,9.366883116883118
5.201612903225806,9.285714285714286
5.040322580645162,7.472943722943723
4.858870967741936,6.336580086580088
4.71774193548387,4.388528138528139
4.334677419354838,2.7651515151515156
4.09274193548387,1.304112554112554
3.8911290322580645,0.8170995670995671
4.314516129032258,1.8181818181818183
4.334677419354838,2.2240259740259742
4.334677419354838,2.683982683982684
4.435483870967742,3.062770562770563
4.495967741935484,3.441558441558442
4.516129032258064,3.9015151515151523
4.67741935483871,4.388528138528139
4.71774193548387,4.821428571428572
4.838709677419354,5.254329004329005
5.0,5.8495670995671
4.97983870967742,6.174242424242425
4.959677419354838,6.688311688311689
4.959677419354838,7.0941558441558445
4.97983870967742,7.364718614718615
5.100806451612904,7.743506493506494
5.141129032258064,8.33874458874459
5.161290322580646,8.690476190476192
5.181451612903226,8.988095238095239
5.221774193548386,9.285714285714286
5.241935483870968,8.933982683982684
5.02016129032258,7.905844155844157
4.939516129032258,7.337662337662339
4.879032258064516,6.093073593073593
4.67741935483871,4.875541125541126
4.576612903225806,3.928571428571429
4.435483870967742,2.954545454545455
4.35483870967742,2.034632034632035
4.596774193548388,2.792207792207792
4.737903225806452,3.3603896103896105
4.879032258064516,4.172077922077922
4.838709677419354,4.036796536796537
4.556451612903226,2.4945887445887447
4.032258064516128,0.8982683982683981
3.9516129032258065,0.6818181818181817
4.112903225806452,1.8181818181818183
4.35483870967742,2.792207792207792
4.758064516129032,4.388528138528139
5.080645161290322,5.416666666666667
5.080645161290322,5.606060606060606
5.120967741935484,6.634199134199134
5.120967741935484,4.226190476190476
4.939516129032258,4.523809523809525
5.060483870967742,5.037878787878788
5.100806451612904,6.525974025974027
5.383064516129032,7.95995670995671
5.403225806451612,8.906926406926408
5.100806451612904,8.203463203463205
4.858870967741936,5.903679653679654
4.314516129032258,2.9274891774891776
4.133064516129032,1.4393939393939394
3.9717741935483875,0.6818181818181817
4.334677419354838,1.7640692640692643
4.71774193548387,3.54978354978355
5.080645161290322,5.984848484848485
5.100806451612904,6.6612554112554125
5.201612903225806,7.6893939393939394
5.383064516129032,8.392857142857144
5.262096774193548,7.851731601731602
5.120967741935484,6.9859307359307365
5.32258064516129,7.95995670995671
5.483870967741936,8.879870129870131
5.403225806451612,9.096320346320347
5.262096774193548,8.122294372294373
5.040322580645162,6.228354978354979
5.040322580645162,5.822510822510823
4.899193548387096,4.686147186147187
4.899193548387096,4.604978354978355
4.879032258064516,5.0108225108225115
4.879032258064516,5.0108225108225115
4.879032258064516,5.091991341991343
4.798387096774194,4.713203463203464
4.616935483870968,3.7391774891774894
4.495967741935484,3.333333333333334
4.596774193548388,3.820346320346321
4.596774193548388,4.145021645021646
4.657258064516128,3.982683982683983
4.657258064516128,3.658008658008658
4.39516129032258,3.008658008658009
4.334677419354838,2.62987012987013
4.09274193548387,1.8181818181818183
4.09274193548387,1.655844155844156
4.213709677419354,2.3322510822510822
4.213709677419354,2.1699134199134202
4.213709677419354,1.70995670995671
4.133064516129032,0.8441558441558441
4.334677419354838,1.222943722943723
4.39516129032258,1.4935064935064934
4.556451612903226,2.1428571428571432
5.0,5.146103896103897
5.30241935483871,6.850649350649352
5.32258064516129,7.445887445887447
5.34274193548387,7.878787878787879
5.383064516129032,8.446969696969697
5.423387096774194,9.06926406926407
5.34274193548387,9.231601731601733
4.69758064516129,6.093073593073593
4.657258064516128,5.1190476190476195
