X1,X2,Tag
6.129032258064516,2.738095238095238,-1.0
3.9314516129032255,7.60822510822511,1.0
7.459677419354838,7.5811688311688314,-1.0
5.383064516129032,3.4686147186147194,-1.0
5.30241935483871,3.2521645021645025,-1.0
7.681451612903226,2.7110389610389616,-1.0
5.92741935483871,4.686147186147187,-1.0
5.866935483870968,4.686147186147187,-1.0
8.810483870967742,4.1991341991342,-1.0
5.625,7.554112554112555,-1.0
4.112903225806452,1.7640692640692643,-1.0
3.6693548387096775,8.311688311688313,1.0
6.995967741935484,2.088744588744589,-1.0
2.1169354838709675,2.4134199134199137,1.0
1.995967741935484,3.333333333333334,1.0
2.1370967741935485,7.905844155844157,1.0
8.850806451612902,3.7391774891774894,-1.0
3.5685483870967745,4.9567099567099575,1.0
5.463709677419354,7.175324675324676,-1.0
4.314516129032258,7.337662337662339,1.0
8.931451612903226,4.9025974025974035,-1.0
6.169354838709678,7.905844155844157,-1.0
2.9233870967741935,5.66017316017316,1.0
3.2258064516129035,2.792207792207792,1.0
3.4072580645161286,7.743506493506494,1.0
8.44758064516129,6.282467532467533,-1.0
4.737903225806452,7.41883116883117,1.0
7.681451612903226,4.388528138528139,-1.0
2.096774193548387,7.41883116883117,1.0
5.92741935483871,7.012987012987013,-1.0
7.52016129032258,3.9015151515151523,-1.0
4.294354838709678,6.471861471861472,1.0
6.350806451612904,2.738095238095238,-1.0
7.116935483870968,5.551948051948052,-1.0
9.173387096774192,3.4686147186147194,-1.0
3.9314516129032255,2.115800865800866,-1.0
6.995967741935484,5.768398268398269,-1.0
5.443548387096774,4.550865800865801,-1.0
4.07258064516129,5.443722943722944,1.0
7.52016129032258,4.388528138528139,-1.0
6.733870967741934,3.116883116883117,-1.0
4.919354838709678,2.9274891774891776,-1.0
2.5604838709677415,4.686147186147187,1.0
2.0161290322580645,4.821428571428572,1.0
7.52016129032258,2.2240259740259742,-1.0
8.245967741935484,6.417748917748918,-1.0
1.975806451612903,5.930735930735931,1.0
5.544354838709678,5.741341991341992,-1.0
3.0241935483870965,5.335497835497836,1.0
5.403225806451612,1.9534632034632038,-1.0
6.713709677419354,5.524891774891776,-1.0
6.532258064516128,4.1991341991342,-1.0
3.0846774193548385,7.5811688311688314,1.0
4.153225806451612,1.9264069264069263,-1.0
7.782258064516128,7.797619047619049,-1.0
3.5282258064516125,4.713203463203464,1.0
7.741935483870968,3.8474025974025974,-1.0
3.1854838709677415,6.688311688311689,1.0
5.725806451612904,8.14935064935065,-1.0
8.245967741935484,8.176406926406928,-1.0
2.5604838709677415,4.117965367965368,1.0
2.9435483870967745,2.846320346320346,1.0
5.362903225806452,5.984848484848485,-1.0
3.9919354838709675,6.634199134199134,1.0
3.3669354838709675,6.49891774891775,1.0
2.4999999999999996,5.606060606060606,1.0
3.8508064516129035,4.415584415584416,1.0
6.673387096774192,7.770562770562771,-1.0
2.7419354838709675,6.363636363636364,1.0
7.439516129032258,6.796536796536797,-1.0
4.858870967741936,8.33874458874459,1.0
8.649193548387096,5.254329004329005,-1.0
5.060483870967742,4.036796536796537,-1.0
8.225806451612902,3.170995670995671,-1.0
8.024193548387096,5.416666666666667,-1.0
3.3669354838709675,8.230519480519481,1.0
